Dates,Total Entries,Total Exits
2017-12-25,1603331,1340170
2017-12-26,3781409,2918201
2017-12-27,4351951,3338676
2017-12-28,4287937,3288895
2017-12-29,4259567,3293279
2017-12-30,2734725,2205967
2017-12-31,2289324,1887660
2018-01-01,1901996,1584604
2018-01-02,4836360,3633518
2018-01-03,5308942,3952135
2018-01-04,2786644,2180160
2018-01-05,4643107,3460153
2018-01-06,2354970,1901463
2018-01-07,1985487,1608328
2018-01-08,5179234,3833519
2018-01-09,5444608,4034878
2018-01-10,5482935,4079957
2018-01-11,5507888,4138843
2018-01-12,5186149,3911055
2018-01-13,2825668,2303710
2018-01-14,2177076,1823091
2018-01-15,3144818,2509389
2018-01-16,5361322,3983894
2018-01-17,5264499,3970165
2018-01-18,5473320,4097565
2018-01-19,5370353,4067470
2018-01-20,3090258,2512737
2018-01-21,2222805,1854643
2018-01-22,5137208,3867369
2018-01-23,5225640,3964848
2018-01-24,5423845,4092648
2018-01-25,5387599,4069101
2018-01-26,5366056,4007429
2018-01-27,3024558,2444547
2018-01-28,2186475,1835976
2018-01-29,5264625,3951808
2018-01-30,5510930,4112146
2018-01-31,5553668,4156651
2018-02-01,5600044,4176790
2018-02-02,5415653,4047107
2018-02-03,2831060,2307071
2018-02-04,2124517,1750649
2018-02-05,5360403,3987724
2018-02-06,5612082,4139122
2018-02-07,5374041,4007390
2018-02-08,5661914,4201335
2018-02-09,5516858,4110244
2018-02-10,2844483,2338442
2018-02-11,2018356,1711129
2018-02-12,5258264,3935131
2018-02-13,5645260,4196175
2018-02-14,5660008,4209357
2018-02-15,5588881,4177625
2018-02-16,5049803,3811432
2018-02-17,2774483,2286066
2018-02-18,2283384,1910885
2018-02-19,3046755,2410914
2018-02-20,5165846,3915151
2018-02-21,5364412,4095004
2018-02-22,5231595,3983202
2018-02-23,5114940,3889738
2018-02-24,2916722,2385286
2018-02-25,2137311,1800329
2018-02-26,5411202,4032665
2018-02-27,5632022,4194746
2018-02-28,5655923,4235680
2018-03-01,5607120,4206911
2018-03-02,4886374,3698294
2018-03-03,2951927,2387438
2018-03-04,2329542,1923895
2018-03-05,5489813,4112775
2018-03-06,5770548,4270810
2018-03-07,4008957,3053209
2018-03-08,5493606,4111739
2018-03-09,5656680,4257128
2018-03-10,3141385,2521469
2018-03-11,2447134,2008225
2018-03-12,5457268,4089461
2018-03-13,5328130,4004602
2018-03-14,5758425,4309899
2018-03-15,5770185,4365421
2018-03-16,5657323,4291520
2018-03-17,3144905,2556899
2018-03-18,2387522,1979630
2018-03-19,5458797,4069013
2018-03-20,5604799,4172090
2018-03-21,3040099,2403565
2018-03-22,5393102,4028367
2018-03-23,5640974,4224620
2018-03-24,3213564,2624543
2018-03-25,2344335,1953295
2018-03-26,5560098,4170133
2018-03-27,5743257,4295883
2018-03-28,5743792,4305364
2018-03-29,5733231,4321461
2018-03-30,4641838,3591052
2018-03-31,3008158,2458866
2018-04-01,2237740,1886731
